Time (sec)    LWC (ug m-3) 
       0.0       1.800e+00
    1800.0       2.197e+00
    3600.0       2.635e+00
    5400.0       3.071e+00
    7200.0       3.466e+00
    9000.0       3.778e+00
   10800.0       3.966e+00
   12600.0       4.004e+00
   14400.0       3.915e+00
   16200.0       3.737e+00
   18000.0       3.508e+00
   19800.0       3.258e+00
   21600.0       2.983e+00
   23400.0       2.670e+00
   25200.0       2.307e+00
   27000.0       1.892e+00
   28800.0       1.460e+00
   30600.0       1.057e+00
   32400.0       7.280e-01
   34200.0       5.058e-01
   36000.0       3.748e-01
   37800.0       3.068e-01
   39600.0       2.739e-01
   41400.0       2.525e-01
   43200.0       2.374e-01
   45000.0       2.280e-01
   46800.0       2.234e-01
   48600.0       2.229e-01
   50400.0       2.243e-01
   52200.0       2.255e-01
   54000.0       2.242e-01
   55800.0       2.192e-01
   57600.0       2.132e-01
   59400.0       2.100e-01
   61200.0       2.133e-01
   63000.0       2.257e-01
   64800.0       2.447e-01
   66600.0       2.668e-01
   68400.0       2.885e-01
   70200.0       3.080e-01
   72000.0       3.306e-01
   73800.0       3.634e-01
   75600.0       4.136e-01
   77400.0       4.846e-01
   79200.0       5.659e-01
   81000.0       6.431e-01
   82800.0       7.020e-01
   84600.0       7.337e-01
   86400.0       7.512e-01
   88200.0       7.727e-01
   90000.0       8.165e-01
   91800.0       8.958e-01
   93600.0       1.003e+00
   95400.0       1.125e+00
   97200.0       1.250e+00
   99000.0       1.368e+00
  100800.0       1.478e+00
  102600.0       1.582e+00
  104400.0       1.684e+00
  106200.0       1.785e+00
  108000.0       1.882e+00
  109800.0       1.968e+00
  111600.0       2.040e+00
  113400.0       2.089e+00
  115200.0       2.087e+00
  117000.0       2.004e+00
  118800.0       1.807e+00
  120600.0       1.484e+00
  122400.0       1.089e+00
  124200.0       6.960e-01
  126000.0       3.784e-01
  127800.0       1.904e-01
  129600.0       1.103e-01
  131400.0       9.773e-02
  133200.0       1.123e-01
  135000.0       1.211e-01
  136800.0       1.219e-01
  138600.0       1.202e-01
  140400.0       1.211e-01
  142200.0       1.291e-01
  144000.0       1.437e-01
  145800.0       1.635e-01
  147600.0       1.870e-01
  149400.0       2.130e-01
  151200.0       2.421e-01
  153000.0       2.748e-01
  154800.0       3.121e-01
  156600.0       3.531e-01
  158400.0       3.916e-01
  160200.0       4.198e-01
  162000.0       4.298e-01
  163800.0       4.166e-01
  165600.0       3.852e-01
  167400.0       3.436e-01
  169200.0       2.995e-01
  171000.0       2.608e-01
