#time (sec)    alwc (ug/m3)
     0.0       1.011e+01
  1800.0       1.012e+01
  3600.0       1.014e+01
  5400.0       1.024e+01
  7200.0       1.034e+01
  9000.0       9.715e+00
 10800.0       9.089e+00
 12600.0       7.388e+00
 14400.0       5.687e+00
 16200.0       5.250e+00
 18000.0       4.813e+00
 19800.0       4.912e+00
 21600.0       5.011e+00
 23400.0       4.396e+00
 25200.0       3.780e+00
 27000.0       3.273e+00
 28800.0       2.765e+00
 30600.0       2.112e+00
 32400.0       1.459e+00
 34200.0       8.060e-01
 36000.0       1.529e-01
 37800.0       1.664e-01
 39600.0       1.799e-01
 41400.0       1.731e-01
 43200.0       1.664e-01
 45000.0       1.402e-01
 46800.0       1.140e-01
 48600.0       1.161e-01
 50400.0       1.182e-01
 52200.0       1.243e-01
 54000.0       1.303e-01
 55800.0       1.255e-01
 57600.0       1.208e-01
 59400.0       1.036e-01
 61200.0       8.644e-02
 63000.0       9.495e-02
 64800.0       1.035e-01
 66600.0       9.046e-02
 68400.0       7.746e-02
 70200.0       8.336e-02
 72000.0       8.925e-02
 73800.0       1.160e-01
 75600.0       1.427e-01
 77400.0       2.082e-01
 79200.0       2.738e-01
 81000.0       3.452e-01
 82800.0       4.166e-01
 84600.0       1.064e+00
 86400.0       1.712e+00
 88200.0       1.284e+00
 90000.0       8.549e-01
 91800.0       6.287e-01
 93600.0       4.025e-01
 95400.0       4.828e-01
 97200.0       5.631e-01
 99000.0       6.891e-01
100800.0       8.150e-01
102600.0       9.557e-01
104400.0       1.096e+00
106200.0       1.372e+00
108000.0       1.648e+00
109800.0       1.771e+00
111600.0       1.893e+00
113400.0       1.535e+00
115200.0       1.176e+00
117000.0       7.736e-01
118800.0       3.714e-01
120600.0       3.131e-01
122400.0       2.549e-01
124200.0       2.423e-01
126000.0       2.298e-01
127800.0       1.706e-01
129600.0       1.114e-01
131400.0       1.096e-01
133200.0       1.078e-01
135000.0       1.354e-01
136800.0       1.629e-01
138600.0       1.852e-01
140400.0       2.074e-01
142200.0       2.232e-01
144000.0       2.389e-01
145800.0       2.691e-01
147600.0       2.994e-01
149400.0       3.457e-01
151200.0       3.920e-01
153000.0       3.339e-01
154800.0       2.759e-01
156600.0       3.076e-01
158400.0       3.392e-01
160200.0       4.992e-01
162000.0       6.592e-01
163800.0       8.561e-01
165600.0       1.053e+00
167400.0       1.383e+00
169200.0       1.713e+00
171000.0       1.753e+00
