PAR [!4l!Xmol	m!E-2!N s!E-1!N] at 46 m
0	0.74267423
1800	0
3600	0.17164086
5400	0
7200	0.2525008
9000	1.2459066
10800	0
12600	0
14400	0
16200	0
18000	18.09236
19800	64.401314
21600	222.67213
23400	415.02271
25200	604.62805
27000	801.71448
28800	996.81122
30600	1182.8651
32400	1358.2311
34200	1516.5901
36000	1653.0464
37800	1776.2612
39600	1876.4167
41400	1931.2952
43200	1967.83
45000	1983.3462
46800	1980.0564
48600	1926.2966
50400	1869.5964
52200	1780.0009
54000	1676.2419
55800	1549.4014
57600	1391.4623
59400	1221.1234
61200	1035.4524
63000	841.16766
64800	639.53998
66600	438.10287
68400	253.7803
70200	96.292397
72000	17.771172
73800	0.59986156
75600	0
77400	0.23626348
79200	0
81000	0
82800	0
84600	0
86400	0.11726303
88200	0
90000	0
91800	0
93600	0
95400	0.38227227
97200	0.18532668
99000	0.23752427
100800	0
102600	0
104400	16.837713
106200	63.483562
108000	215.47791
109800	407.96014
111600	601.02429
113400	800.94965
115200	918.48041
117000	1079.5585
118800	1392.72
120600	1464.0995
122400	1702.8429
124200	1819.5399
126000	1906.5997
127800	1871.6515
129600	1970.1093
131400	2054.7993
133200	1658.6675
135000	1400.5254
136800	2060.8882
138600	1066.9095
140400	1309.7638
142200	1305.9076
144000	1084.9365
145800	820.255
147600	630.92767
149400	608.73901
151200	774.29083
153000	447.69373
154800	158.52975
156600	66.862068
158400	7.972321
160200	0.0146119
162000	0
163800	0.54722828
165600	0.3468565
167400	0
169200	0
171000	0
