!4r!x!dw!n []	at 36 m
0	0.775409698
1800	0.918258188
3600	0.7605404
5400	0.616091957
7200	0.515056502
9000	0.544555874
10800	0.443666203
12600	0.461827565
14400	0.405853175
16200	0.376002394
18000	0.423016903
19800	0.491841946
21600	0.539621349
23400	0.614141433
25200	0.637862446
27000	0.570735841
28800	0.522126613
30600	0.61694935
32400	0.616281835
34200	0.655477994
36000	0.694176635
37800	0.77631321
39600	0.686370745
41400	0.668132771
43200	0.829125262
45000	0.905558446
46800	0.880497473
48600	0.967094721
50400	1.081770539
52200	0.984215322
54000	1.027905054
55800	0.945449523
57600	0.825702489
59400	0.931829813
61200	0.798499155
63000	0.785094962
64800	0.782384752
66600	0.866576194
68400	0.659808684
70200	0.714754014
72000	0.653320366
73800	0.623467722
75600	0.430052555
77400	0.522328058
79200	0.366621194
81000	0.355525245
82800	0.479491084
84600	0.438916849
86400	0.378300145
88200	0.266883308
90000	0.162024381
91800	0.186051068
93600	0.13263446
95400	0.107847578
97200	0.146475595
99000	0.15436418
100800	0.104099472
102600	0.144551375
104400	0.198884137
106200	0.165588949
108000	0.125243762
109800	0.177054794
111600	0.302240798
113400	0.26503811
115200	0.279457689
117000	0.384319138
118800	0.416743926
120600	0.385587474
122400	0.40083438
124200	0.415138892
126000	0.404786734
127800	0.44487841
129600	0.51643441
131400	0.512017773
133200	0.418291167
135000	0.456584165
136800	0.494202792
138600	0.357876934
140400	0.62405801
142200	0.384552467
144000	0.318955169
145800	0.327703067
147600	0.300753554
149400	0.290446897
151200	0.201057952
153000	0.169937636
154800	0.194693349
156600	0.132912377
158400	0.063007936
160200	0.116284995
162000	0.154135006
163800	0.172363569
165600	0.2358614
167400	0.176557639
169200	0.240512786
171000	0.372266571
