!4r!x!dw!n []	at 21 m
0	0.535300943
1800	0.622087695
3600	0.5086023
5400	0.408472398
7200	0.362990496
9000	0.362423647
10800	0.335134451
12600	0.333788556
14400	0.291316151
16200	0.288486048
18000	0.296207022
19800	0.328239851
21600	0.37581232
23400	0.403823848
25200	0.381518938
27000	0.361971822
28800	0.32779399
30600	0.407616118
32400	0.425302481
34200	0.47873782
36000	0.515947284
37800	0.550451088
39600	0.489771988
41400	0.487603322
43200	0.619616575
45000	0.685874333
46800	0.646353928
48600	0.73594171
50400	0.780079163
52200	0.715818622
54000	0.761819795
55800	0.735109788
57600	0.615054225
59400	0.68237922
61200	0.546920195
63000	0.567364962
64800	0.537924065
66600	0.605655182
68400	0.455297485
70200	0.441510362
72000	0.423440669
73800	0.408629294
75600	0.304822899
77400	0.333248106
79200	0.274336472
81000	0.285956116
82800	0.336199346
84600	0.284478294
86400	0.240042705
88200	0.150777982
90000	0.125020798
91800	0.133691062
93600	0.143608147
95400	0.089809242
97200	0.120797765
99000	0.117828689
100800	0.074291991
102600	0.109426231
104400	0.106981307
106200	0.107303774
108000	0.115986637
109800	0.08708559
111600	0.164230022
113400	0.152937242
115200	0.184622588
117000	0.250823245
118800	0.28159652
120600	0.269645137
122400	0.290522633
124200	0.234102755
126000	0.259207446
127800	0.284361741
129600	0.415801515
131400	0.37383606
133200	0.357977793
135000	0.342633186
136800	0.305318686
138600	0.348595181
140400	0.547318098
142200	0.277227344
144000	0.289424083
145800	0.228764508
147600	0.212717888
149400	0.187540396
151200	0.071358952
153000	0.106382329
154800	0.181397354
156600	0.103285527
158400	0.060419368
160200	0.09489942
162000	0.138571281
163800	0.146733773
165600	0.236539637
167400	0.169146682
169200	0.206548542
171000	0.274675081
