U!E*!N [m s!E-1!N]	at 36 m
0	0.6241689
1800	0.7030857
3600	0.591117
5400	0.5395172
7200	0.4189484
9000	0.408695
10800	0.3463559
12600	0.3395306
14400	0.3103782
16200	0.277813
18000	0.3274077
19800	0.3520782
21600	0.4452511
23400	0.4350933
25200	0.5009645
27000	0.4686046
28800	0.3533034
30600	0.5329515
32400	0.5473824
34200	0.4926839
36000	0.456158
37800	0.7024535
39600	0.6140344
41400	0.4965463
43200	0.6821964
45000	0.7372934
46800	0.6930864
48600	0.8412117
50400	1.0153166
52200	0.9237211
54000	0.8217344
55800	0.7897721
57600	0.7239082
59400	0.6204691
61200	0.6406528
63000	0.6159257
64800	0.6410415
66600	0.6566021
68400	0.5884483
70200	0.4830009
72000	0.518414
73800	0.4512101
75600	0.2475958
77400	0.3463422
79200	0.2292639
81000	0.2697538
82800	0.3533862
84600	0.3480569
86400	0.269922
88200	0.1937598
90000	0.1085275
91800	0.1209786
93600	0.0775936
95400	0.0496416
97200	0.0861364
99000	0.1194605
100800	0.0461214
102600	0.0768029
104400	0.1019835
106200	0.094981
108000	0.0707338
109800	0.0959581
111600	0.1935202
113400	0.1935956
115200	0.1869265
117000	0.3063213
118800	0.3794024
120600	0.3067135
122400	0.2988351
124200	0.2531618
126000	0.1967984
127800	0.1543299
129600	0.4404026
131400	0.3172004
133200	0.2150166
135000	0.1681207
136800	0.320245
138600	0.2336347
140400	0.6033057
142200	0.2773217
144000	0.2826497
145800	0.2506784
147600	0.2722305
149400	0.2321372
151200	0.1837896
153000	0.1444284
154800	0.1472931
156600	0.0785195
158400	0.0589706
160200	0.1154588
162000	0.1573505
163800	0.1285237
165600	0.1709577
167400	0.1205445
169200	0.1928597
171000	0.2799311
