#time (sec)    vsettling (m/s)
     0.0       5.354e-06
  1800.0       5.214e-06
  3600.0       5.074e-06
  5400.0       5.050e-06
  7200.0       5.026e-06
  9000.0       5.441e-06
 10800.0       5.856e-06
 12600.0       6.278e-06
 14400.0       6.699e-06
 16200.0       6.924e-06
 18000.0       7.149e-06
 19800.0       7.305e-06
 21600.0       7.461e-06
 23400.0       7.506e-06
 25200.0       7.550e-06
 27000.0       7.493e-06
 28800.0       7.435e-06
 30600.0       6.847e-06
 32400.0       6.260e-06
 34200.0       5.908e-06
 36000.0       5.555e-06
 37800.0       5.158e-06
 39600.0       4.760e-06
 41400.0       4.888e-06
 43200.0       5.015e-06
 45000.0       5.132e-06
 46800.0       5.250e-06
 48600.0       5.120e-06
 50400.0       4.989e-06
 52200.0       5.274e-06
 54000.0       5.559e-06
 55800.0       5.441e-06
 57600.0       5.324e-06
 59400.0       5.317e-06
 61200.0       5.310e-06
 63000.0       5.344e-06
 64800.0       5.378e-06
 66600.0       5.224e-06
 68400.0       5.071e-06
 70200.0       5.262e-06
 72000.0       5.453e-06
 73800.0       5.247e-06
 75600.0       5.041e-06
 77400.0       5.195e-06
 79200.0       5.349e-06
 81000.0       5.154e-06
 82800.0       4.959e-06
 84600.0       5.016e-06
 86400.0       5.073e-06
 88200.0       5.045e-06
 90000.0       5.017e-06
 91800.0       5.049e-06
 93600.0       5.080e-06
 95400.0       5.031e-06
 97200.0       4.982e-06
 99000.0       4.946e-06
100800.0       4.909e-06
102600.0       4.761e-06
104400.0       4.612e-06
106200.0       4.726e-06
108000.0       4.841e-06
109800.0       4.846e-06
111600.0       4.850e-06
113400.0       4.917e-06
115200.0       4.984e-06
117000.0       5.118e-06
118800.0       5.253e-06
120600.0       5.253e-06
122400.0       5.254e-06
124200.0       5.097e-06
126000.0       4.939e-06
127800.0       5.034e-06
129600.0       5.129e-06
131400.0       4.953e-06
133200.0       4.778e-06
135000.0       4.957e-06
136800.0       5.137e-06
138600.0       4.847e-06
140400.0       4.557e-06
142200.0       4.642e-06
144000.0       4.728e-06
145800.0       4.626e-06
147600.0       4.525e-06
149400.0       4.560e-06
151200.0       4.596e-06
153000.0       4.755e-06
154800.0       4.914e-06
156600.0       4.869e-06
158400.0       4.823e-06
160200.0       5.210e-06
162000.0       5.598e-06
163800.0       5.320e-06
165600.0       5.043e-06
167400.0       4.908e-06
169200.0       4.772e-06
171000.0       4.791e-06
