U [m s!E-1!N]	at 36 m
0	2.998817
1800	3.5100417
3600	3.4068699
5400	2.8116128
7200	2.7077115
9000	2.695369
10800	2.6894882
12600	2.5483968
14400	2.7495244
16200	2.621712
18000	2.6326222
19800	2.9991159
21600	3.2031679
23400	3.1498449
25200	2.8506086
27000	2.5532808
28800	2.0253439
30600	2.3338301
32400	2.3799853
34200	2.592437
36000	3.0519824
37800	2.4630549
39600	2.6134622
41400	2.074481
43200	2.7567785
45000	3.0234694
46800	3.2995095
48600	3.237937
50400	3.9423094
52200	3.0126731
54000	3.5490236
55800	2.9249313
57600	2.657897
59400	3.6498246
61200	2.6608605
63000	3.0291071
64800	2.773653
66600	3.4352398
68400	2.675693
70200	2.7293591
72000	2.7282112
73800	2.6888011
75600	2.7131789
77400	2.9139116
79200	2.7679877
81000	2.837045
82800	2.8790641
84600	2.8818243
86400	2.5181
88200	2.2608032
90000	1.8568118
91800	1.915579
93600	1.5712049
95400	0.9891262
97200	2.0412214
99000	1.3728127
100800	1.6214265
102600	1.7381703
104400	1.964355
106200	1.3372791
108000	1.3716294
109800	1.8968513
111600	1.7657428
113400	1.1707283
115200	1.2375793
117000	1.6161231
118800	1.6336854
120600	1.0965374
122400	1.0339561
124200	0.4120612
126000	0.8727788
127800	0.4808191
129600	1.4108769
131400	1.2225695
133200	1.1334277
135000	0.6430976
136800	0.3477254
138600	0.9441713
140400	1.3903985
142200	0.4133604
144000	0.9635563
145800	1.0010105
147600	0.9457046
149400	0.973534
151200	0.3556733
153000	0.2470826
154800	0.5735353
156600	1.0088491
158400	0.8559945
160200	1.0116061
162000	1.2137787
163800	1.5411906
165600	1.4633052
167400	1.3384583
169200	1.4625467
171000	1.6748552
